id,type,type_label,question,axis1,axis2,quality,coherence,uniqueness,overall,quality_reasons,coherence_reasons,uniqueness_reasons
445,A,Neutral Framing,A community's religious institutions serve as gathering spaces during isolation. How might we understand the relationship between faith communities and social infrastructure?,I1,EP2,6.0,6.0,6.5,6.2,good_length,epoch_plausible;tags_aligned,uncommon_tag_combo;low_similarity;ubiquitous_topic:456
446,A,Neutral Framing,A neighborhood's religious diversity increases as immigrant populations grow. How might we understand the relationship between demographic change and social cohesion?,I1|H1,EP2,6.0,6.0,7.5,6.5,good_length,epoch_plausible;tags_aligned,rare_tag_combo;low_similarity;common_topic
447,A,Neutral Framing,A religious institution owns housing that it rents below market rate to congregants. How might we understand the relationship between faith communities and housing provision?,I1|J1|D1,EP2,6.0,6.0,6.5,6.2,good_length,epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:673;multi_topic_overlap:3
448,C,Application,A religious school receives public vouchers while secular schools do not. How might we understand the relationship between educational choice and religious subsidy?,I1|D1,EP2,6.0,6.0,8.0,6.7,good_length,epoch_plausible;tags_aligned,rare_tag_combo;unique_text;common_topic
449,B,Contrast,A school curriculum teaches about world religions from a secular perspective but allows religious groups to teach their own faiths. How might we understand the relationship between secular education and religious instruction?,I1|D1,EP2,6.0,5.5,6.5,6.0,good_length,type_b_no_contrast;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:550;multi_topic_overlap:3
450,A,Neutral Framing,A workplace requires employees to participate in voluntary team-building at a church. How might we understand the relationship between social cohesion and religious coercion?,I1,EP2,6.0,6.0,7.0,6.3,good_length,epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;ubiquitous_topic:525
451,C,Application,A workplace's holiday calendar only recognizes Christian holidays. How might we understand the relationship between institutional time and religious default?,I1,EP2,6.0,6.0,7.0,6.3,good_length,epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;ubiquitous_topic:551
452,A,Neutral Framing,How did European colonial administrations impose secular governance structures on religiously diverse territories?,I2|F1,EP2,6.0,7.0,8.0,7.0,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;common_topic
453,A,Neutral Framing,How did the Ottoman millet system manage religious diversity before the imposition of secular governance models?,I2|I4,EP2,6.5,7.0,7.5,7.0,good_length;specific_phenomenon,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;very_common_topic
454,A,Neutral Framing,What role did religious justification play in the colonization of the Americas?,I4|F1,EP2,7.0,7.0,8.0,7.3,good_length;concrete_entities,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;common_topic
455,A,Neutral Framing,What role did religious orders play in establishing schools and hospitals during the colonial period?,I3|D4,EP2,6.0,7.0,6.0,6.3,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;low_similarity;ubiquitous_topic:403;multi_topic_overlap:3
456,A,Neutral Framing,Why do religious schools often reproduce class and racial divisions even when they claim to promote social mobility?,I1|D4,EP2,6.0,7.0,6.5,6.5,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:612;multi_topic_overlap:3
457,A,Neutral Framing,Why do wealthy religious organizations receive tax exemptions while secular charitable organizations face the same tax burden as for-profit businesses?,I1,EP2,6.0,7.0,8.0,7.0,good_length,type_a_matches;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;common_topic
458,A,Neutral Framing,How did the development of port cities create new economic centers during the colonial period?,J1|F1,EP2,6.0,7.0,7.0,6.7,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:496
459,A,Neutral Framing,How did the establishment of colonial trade monopolies shape the long-term economic trajectories of different regions?,J2|F1,EP2,6.0,7.0,6.5,6.5,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:640;multi_topic_overlap:3
460,A,Neutral Framing,How did the spice trade routes of the fifteenth century connect distant regions and shift economic power?,J2|F1,EP2,6.0,7.0,8.0,7.0,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;no_topic_match
461,A,Neutral Framing,"How did the transatlantic slave trade redistribute wealth between Africa, the Americas, and Europe?",J2|B1|F1,EP2,7.0,7.0,8.0,7.3,good_length;concrete_entities,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;no_topic_match
462,B,Contrast,What does framing environmental damage as a problem of individual consumer choices overlook about the industrial sources of pollution?,J3,EP2,6.5,7.0,6.5,6.7,good_length;good_contrast_structure,type_b_contrast_present;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:608;multi_topic_overlap:3
463,B,Contrast,What does the narrative of 'blight removal' leave out about who defines what counts as blight and who benefits from removal?,J5,EP2,6.0,7.0,8.0,7.0,good_length,type_b_contrast_present;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;no_topic_match
464,B,Contrast,What does the narrative of 'corporate innovation' leave out about the public research and infrastructure that private companies rely on?,J1,EP2,6.0,7.0,8.0,7.0,good_length,type_b_contrast_present;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;no_topic_match
465,C,Application,What explains the disparity in green space access between wealthy and low-income neighborhoods?,J1|J3,EP2,6.0,7.0,6.5,6.5,good_length,type_c_application_present;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:545;multi_topic_overlap:3
466,A,Neutral Framing,What factors explain why certain regions accumulated wealth during the early colonial period while others experienced extraction?,J2|F3,EP2,6.0,6.0,6.5,6.2,good_length,type_a_matches;epoch_plausible;tags_aligned;loaded_terms_no_liberal_default,rare_tag_combo;unique_text;ubiquitous_topic:479;multi_topic_overlap:3
467,A,Neutral Framing,What factors led to the separation of indigenous populations from colonizers in early American settlements?,J4|B4|F2,EP2,7.0,7.0,7.0,7.0,good_length;concrete_entities,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:461
468,C,Application,"What's behind the phenomenon of 'ghost cities' in rapidly developing countries, and what does it reveal about growth-driven development?",J1,EP2,6.0,7.0,7.0,6.7,good_length,type_c_application_present;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;ubiquitous_topic:461
469,B,Contrast,Why do road building projects that claim to reduce congestion consistently induce more driving and worsen congestion over time?,J1,EP2,5.5,5.5,7.0,6.0,good_length;leading_framing,type_b_no_contrast;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;ubiquitous_topic:471
470,B,Contrast,Why do urban green space initiatives not address who actually benefits from neighborhood improvements?,J1,EP2,6.0,5.5,7.0,6.2,good_length,type_b_no_contrast;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;ubiquitous_topic:461
471,C,Application,Why have climate impacts disproportionately affected countries and communities that contributed least to the problem?,J3|F3,EP2,6.0,7.0,9.0,7.3,good_length,type_c_application_present;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;moderate_topic_overlap
472,A,Neutral Framing,A city's affordable housing lottery does not account for families with multiple disabilities. How might we understand the relationship between housing policy and intersectional need?,K1|D1,EP2,6.0,6.0,7.5,6.5,good_length,epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;very_common_topic
473,B,Contrast,A city's community center programming reflects middle-class leisure preferences. How might we understand the relationship between public recreation and class-based time use?,K1|D1,EP2,6.0,5.5,8.5,6.7,good_length,type_b_no_contrast;epoch_plausible;tags_aligned,uncommon_tag_combo;low_similarity;moderate_topic_overlap
474,B,Contrast,A city's emergency alert system only provides audio warnings. How might we understand the relationship between crisis communication and sensory access?,K1|E1,EP2,6.5,7.0,8.0,7.2,good_length;good_contrast_structure,type_b_contrast_present;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;no_topic_match
475,A,Neutral Framing,A city's emergency preparedness plan does not account for people who cannot evacuate due to disability or language barriers. How might we understand the relationship between crisis planning and intersectional vulnerability?,K1|E1,EP2,6.0,6.0,7.5,6.5,good_length,epoch_plausible;tags_aligned,rare_tag_combo;unique_text;very_common_topic
476,C,Application,A city's green gentrification projects improve environmental quality but displace long-term residents. How might we understand the relationship between environmental justice and racial equity?,K1|B1,EP2,6.0,6.0,7.0,6.3,good_length,epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:518
477,B,Contrast,A city's public transit route map shows connections between wealthy neighborhoods but not between working-class areas. How might we understand the relationship between transit planning and class geography?,K1|J1,EP2,6.0,5.5,6.5,6.0,good_length,type_b_no_contrast;epoch_plausible;tags_aligned,rare_tag_combo;low_similarity;ubiquitous_topic:474
478,B,Contrast,A city's senior center offers activities that assume participants have transportation. How might we understand the relationship between care infrastructure and mobility access?,K1|D1,EP2,6.0,5.5,7.5,6.3,good_length,type_b_no_contrast;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;very_common_topic
479,A,Neutral Framing,A community's domestic violence services do not accommodate religious practices. How might we understand the relationship between support services and cultural accessibility?,K1|I1,EP2,6.0,6.0,7.5,6.5,good_length,epoch_plausible;tags_aligned,rare_tag_combo;unique_text;very_common_topic
480,B,Contrast,A family's time poverty increases as both parents work multiple jobs. How might we understand the relationship between income generation and care capacity?,K1|D1,EP2,5.5,5.5,6.5,5.8,good_length;repeated_verb,type_b_no_contrast;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;ubiquitous_topic:931;multi_topic_overlap:5
481,B,Contrast,A healthcare study's inclusion criteria exclude people with disabilities. How might we understand the relationship between research design and population representation?,K1|E1,EP2,6.5,5.5,7.0,6.3,good_length;good_contrast_structure,type_b_no_contrast;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;very_common_topic;multi_topic_overlap:3
482,A,Neutral Framing,"A neighborhood's elderly residents face isolation compounded by language barriers and disability. How might we understand the relationship between age, migration, and social connection?",K3|G3,EP2,6.0,6.0,7.5,6.5,good_length,epoch_plausible;tags_aligned,rare_tag_combo;unique_text;very_common_topic
483,A,Neutral Framing,A neighborhood with limited grocery access overlaps with a zone of high industrial pollution. How do environmental hazards and food access map onto the same communities?,K1|J1,EP5,6.0,6.0,6.5,6.2,good_length,epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:516;multi_topic_overlap:3
484,B,Contrast,A policy designed to help 'vulnerable populations' treats all poor people the same. How might we understand the relationship between universal design and differential impact?,K1,EP2,6.5,7.0,7.5,7.0,good_length;good_contrast_structure,type_b_contrast_present;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;very_common_topic
485,B,Contrast,A political campaign's messaging targets 'working families' without addressing how race and gender shape different workers' experiences. How might we understand the relationship between political framing and intersectional reality?,K1,EP2,6.5,7.0,6.5,6.7,good_length;good_contrast_structure,type_b_contrast_present;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;ubiquitous_topic:1136;multi_topic_overlap:5
486,A,Neutral Framing,"A school's gifted program enrollment skews toward wealthy, white students. How might we understand the relationship between identification criteria and demographic representation?",K1|B1,EP2,6.0,6.0,6.5,6.2,good_length,epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:602;multi_topic_overlap:3
487,C,Application,A social media algorithm promotes content that reinforces stereotypes about certain communities. How might we understand the relationship between algorithmic bias and intersectional identity?,K1,EP2,6.0,6.0,7.0,6.3,good_length,epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;ubiquitous_topic:414
488,C,Application,A university's financial aid package does not consider the additional costs of disability accommodations. How might we understand the relationship between educational access and intersectional need?,K1|D1,EP2,6.0,6.0,6.5,6.2,good_length,epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;ubiquitous_topic:747;multi_topic_overlap:4
489,C,Application,A workplace's diversity initiative focuses on gender without addressing how race and class shape different women's experiences. How might we understand the relationship between single-axis and intersectional analysis?,K1,EP2,6.0,6.0,6.5,6.2,good_length,epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;ubiquitous_topic:940;multi_topic_overlap:4
490,B,Contrast,A workplace's flexible work policy requires employees to be available during core business hours. How might we understand the relationship between flexibility and caregiving responsibilities?,K1|C1,EP2,6.0,5.5,6.5,6.0,good_length,type_b_no_contrast;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:856;multi_topic_overlap:5
491,B,Contrast,A workplace's harassment policy addresses gender and race separately but not their combination. How might we understand the relationship between legal categories and lived experience?,K1,EP2,6.0,5.5,6.5,6.0,good_length,type_b_no_contrast;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;ubiquitous_topic:819;multi_topic_overlap:3
492,B,Contrast,A workplace's wellness program offers yoga classes during lunch but not childcare during those same hours. How might we understand the relationship between employee benefits and care responsibilities?,K1|D1,EP2,5.5,5.5,6.5,5.8,good_length;repeated_verb,type_b_no_contrast;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;ubiquitous_topic:633;multi_topic_overlap:4
493,A,Neutral Framing,How did colonial gender systems reshape the status of indigenous women in colonized societies?,K2|C1|F2,EP2,6.0,7.0,6.5,6.5,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;low_similarity;ubiquitous_topic:496
494,A,Neutral Framing,How did the colonization of the Caribbean reshape the economic position of indigenous women?,K2|C1|F1,EP2,6.0,7.0,6.5,6.5,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;low_similarity;ubiquitous_topic:496
495,A,Neutral Framing,How did the treatment of enslaved elderly people on plantations reveal the limits of care under forced labor systems?,K4|G2|B1,EP2,6.0,7.0,6.5,6.5,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:937;multi_topic_overlap:5
496,A,Neutral Framing,What happened to elderly enslaved people when they could no longer work on plantations?,K4|G2|B1,EP2,6.0,7.0,7.0,6.7,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:603
497,A,Neutral Framing,Why do disabled immigrants face barriers in both disability services and immigration support systems simultaneously?,K3,EP2,6.0,7.0,7.5,6.8,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;low_similarity;common_topic
498,A,Neutral Framing,"Why do migrant women in domestic work face exploitation that combines gender, race, class, and immigration status discrimination, with no single framework addressing their situation?",K5,EP2,6.0,6.0,6.5,6.2,good_length,type_a_matches;epoch_plausible;tags_aligned;loaded_terms_no_liberal_default,rare_tag_combo;unique_text;ubiquitous_topic:933;multi_topic_overlap:6
499,A,Neutral Framing,Why do poor working-class women of color who provide care for wealthy families enable the careers of their employers while remaining invisible and underpaid?,K5,EP2,6.0,7.0,6.5,6.5,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:1108;multi_topic_overlap:6
500,A,Neutral Framing,Why do undocumented disabled immigrants fall through the cracks of both disability support and immigration protection systems?,K8,EP2,6.0,7.0,6.5,6.5,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:560;multi_topic_overlap:3
501,A,Neutral Framing,A city council debates whether to approve a luxury development that would displace a low-income neighborhood. What competing interests are at stake?,A1|J1,EP3,6.0,6.0,7.0,6.3,good_length,epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;ubiquitous_topic:571
502,E,Adversarial,A country imposes sanctions on another nation to promote human rights. Isn't this a form of economic coercion that disproportionately harms ordinary citizens while leaving elites largely unaffected?,A1|F4,EP3,6.0,7.0,8.0,7.0,good_length,type_e_adversarial_present;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;no_topic_match
503,E,Adversarial,A country is considering signing a trade agreement that will create jobs in some sectors while destroying jobs in others. Is this a net positive?,A1,EP3,6.0,7.0,6.9,6.6,good_length,type_e_adversarial_present;epoch_plausible;tags_aligned,common_tag_combo:29x;unique_text;ubiquitous_topic:786
504,E,Adversarial,A pharmaceutical company argues that high drug prices are necessary to fund research and development. But the company spends more on share buybacks and marketing than on R&D. Do the prices reflect innovation costs or profit maximization?,A1|D1,EP3,5.5,5.5,7.0,6.0,good_length;repeated_verb,type_e_not_adversarial;epoch_plausible;tags_aligned,unique_text;ubiquitous_topic:556
505,E,Adversarial,A pharmaceutical company raises the price of a life-saving drug by 500 percent. The company says the price reflects the cost of research and development. Does the need to recoup R&D costs justify charging prices that make the drug inaccessible to most patients?,A1|D1,EP3,6.0,5.5,6.5,6.0,good_length,type_e_not_adversarial;epoch_plausible;tags_aligned,unique_text;ubiquitous_topic:844;multi_topic_overlap:3
506,E,Adversarial,"A software engineer discovers that the algorithm they built systematically denies loans to applicants from certain neighborhoods. Their manager says the algorithm is legally compliant and the engineer should not second-guess business decisions. The engineer's career depends on keeping this job. What should the engineer do, and who bears responsibility for the harm?",A1|B1,EP3,6.0,5.5,6.5,6.0,concrete_entities,type_e_not_adversarial;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;ubiquitous_topic:986;multi_topic_overlap:5
507,E,Adversarial,"A union wins a contract that raises wages by 15 percent. The company responds by raising prices, which contributes to inflation that erodes the real value of the raise. Is this cycle of wage increases and price hikes inevitable, or does it reveal something about how labor gains are absorbed by the system?",A1,EP3,4.0,7.0,6.4,5.8,subject_verb_mismatch,type_e_adversarial_present;epoch_plausible;tags_aligned,common_tag_combo:29x;unique_text;ubiquitous_topic:876;multi_topic_overlap:4
508,E,Adversarial,A worker is asked to take on additional responsibilities without additional pay because 'it's part of being a team player.' Should they refuse?,A1,EP3,6.0,7.0,6.9,6.6,good_length,type_e_adversarial_present;epoch_plausible;tags_aligned,common_tag_combo:29x;unique_text;ubiquitous_topic:541
509,C,Application,"As more people rely on digital platforms for basic services — banking, shopping, communication — who controls access and on what terms?",A1,EP3,6.0,6.0,6.9,6.3,good_length,epoch_plausible;tags_aligned,common_tag_combo:29x;unique_text;ubiquitous_topic:493
510,A,Neutral Framing,Can we have a democratic political system alongside extreme concentrations of economic power?,A1,EP3,6.0,6.0,7.9,6.6,good_length,epoch_plausible;tags_aligned,common_tag_combo:29x;unique_text;no_topic_match
511,B,Contrast,Compare how environmental policy approaches the problem of pollution when framed as a market failure versus when framed as a structural feature of production.,A1,EP3,6.5,7.0,6.4,6.6,good_length;good_contrast_structure,type_b_contrast_present;epoch_plausible;tags_aligned,common_tag_combo:29x;unique_text;ubiquitous_topic:842;multi_topic_overlap:4
512,A,Neutral Framing,How did the decline of artisanal production affect the economic position of skilled workers in industrializing societies?,A3|A2,EP3,6.0,7.0,7.0,6.7,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:474
513,A,Neutral Framing,How did the introduction of mechanized textile production affect the employment of skilled handweavers?,A2|A1,EP3,6.0,7.0,7.0,6.7,good_length,type_a_matches;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;ubiquitous_topic:786
514,B,Contrast,How do these two approaches to analyzing poverty — one focusing on income insufficiency and the other on powerlessness in labor markets — produce different visions of what solving poverty requires?,A1|D1,EP3,6.5,7.0,6.5,6.7,good_length;good_contrast_structure,type_b_contrast_present;epoch_plausible;tags_aligned,unique_text;ubiquitous_topic:801;multi_topic_overlap:4
515,C,Application,How does a city's approach to homelessness — enforcement versus shelter provision — reflect its understanding of the problem?,A1|J1|D1,EP3,6.0,6.0,7.0,6.3,good_length,epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:607
516,B,Contrast,"How does a structural explanation account for what an individualist explanation cannot — namely, why well-intentioned reforms consistently fail to produce their intended results?",A1,EP3,6.0,5.5,6.9,6.1,good_length,type_b_no_contrast;epoch_plausible;tags_aligned,common_tag_combo:29x;unique_text;ubiquitous_topic:414
517,D,Conceptual DM,How does the concept of surplus value — the difference between what workers produce and what they are paid — explain the relationship between workers and employers?,A1,EP3,4.0,6.5,6.4,5.6,good_length;dm_terms:surplus value,type_d_conceptual;epoch_plausible;tags_aligned,common_tag_combo:29x;unique_text;ubiquitous_topic:786;multi_topic_overlap:3
518,D,Conceptual DM,How does the concept of the reserve army of labor explain the persistence of unemployment as a structural feature rather than a temporary condition?,A2|A1,EP3,4.0,6.5,6.5,5.7,good_length;dm_terms:reserve army of labor,type_d_conceptual;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;ubiquitous_topic:983;multi_topic_overlap:3
519,A,Neutral Framing,How does the fact that time cannot be stored or saved affect how labor is valued and sold?,A1|D1,EP3,6.0,7.0,7.0,6.7,good_length,type_a_matches;epoch_plausible;tags_aligned,unique_text;ubiquitous_topic:501
520,D,Conceptual DM,"How does the reserve army of labor function as a mechanism of wage discipline, keeping employed workers from demanding higher pay?",A2,EP3,4.0,6.5,6.5,5.7,good_length;dm_terms:reserve army of labor,type_d_conceptual;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:650;multi_topic_overlap:3
521,C,Application,How has the expansion of surveillance technology in workplaces affected the balance of power between employers and employees?,A1,EP3,6.0,7.0,6.9,6.6,good_length,type_c_application_present;epoch_plausible;tags_aligned,common_tag_combo:29x;unique_text;ubiquitous_topic:740
522,A,Neutral Framing,How might a society measure progress in ways that go beyond GDP?,A1,EP3,6.0,7.0,7.9,7.0,good_length,type_a_matches;epoch_plausible;tags_aligned,common_tag_combo:29x;unique_text;no_topic_match
523,B,Contrast,How would an analysis that examines who benefits from the current healthcare system differ from one that examines why healthcare is so expensive?,A1|D1,EP3,6.0,7.0,6.5,6.5,good_length;repeated_verb;good_contrast_structure,type_b_contrast_present;epoch_plausible;tags_aligned,low_similarity;very_common_topic;multi_topic_overlap:3
524,E,Adversarial,"If a company offers a generous severance package to laid-off workers, isn't that more responsibility than most employers take?",A1,EP3,6.0,7.0,6.4,6.5,good_length,type_e_adversarial_present;epoch_plausible;tags_aligned,common_tag_combo:29x;unique_text;ubiquitous_topic:841;multi_topic_overlap:3
525,E,Adversarial,"If a worker chooses to work for a company known for poor labor practices because it pays well, who has the right to criticize that choice?",A1,EP3,6.0,5.5,6.4,6.0,good_length,type_e_not_adversarial;epoch_plausible;tags_aligned,common_tag_combo:29x;unique_text;ubiquitous_topic:583;multi_topic_overlap:3
526,E,Adversarial,"If a worker is fired for cause, isn't it fair that they lose their income and benefits, regardless of their personal circumstances?",A1,EP3,6.0,7.0,6.4,6.5,good_length,type_e_adversarial_present;epoch_plausible;tags_aligned,common_tag_combo:29x;unique_text;ubiquitous_topic:786;multi_topic_overlap:3
527,A,Neutral Framing,In what ways does the current education system prepare young people for different roles in the economy?,A1|D1,EP3,6.0,6.0,6.5,6.2,good_length,epoch_plausible;tags_aligned,unique_text;ubiquitous_topic:469;multi_topic_overlap:3
528,E,Adversarial,"Isn't it reasonable to expect that the people who built a product should benefit proportionally from its success, rather than seeing the vast majority of profits go to shareholders?",A1,EP3,6.0,7.0,7.9,7.0,good_length,type_e_adversarial_present;epoch_plausible;tags_aligned,common_tag_combo:29x;unique_text;common_topic
529,C,Application,The expansion of prison labor programs has created a market for incarcerated workers. How does this relate to the historical use of penal labor?,A1|B1,EP3,6.0,6.0,6.5,6.2,good_length,epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;ubiquitous_topic:574;multi_topic_overlap:3
530,C,Application,The growth of data collection by tech companies has created new forms of value extraction. How does this data economy differ from traditional wage labor?,A1,EP3,6.0,5.0,6.4,5.8,good_length,epoch_plausible;tags_aligned;loaded_terms_no_liberal_default,common_tag_combo:29x;unique_text;ubiquitous_topic:886;multi_topic_overlap:5
531,C,Application,The move toward asset-based welfare — where retirement security depends on market performance — has transferred risk from employers to individuals. What are the consequences of this shift?,A1|D1,EP3,5.5,6.0,7.0,6.2,good_length;repeated_verb,epoch_plausible;tags_aligned,unique_text;ubiquitous_topic:556
532,C,Application,The way healthcare systems have evolved in different countries — universal vs. market-based — produces dramatically different outcomes. What explains these differences?,A1|D1,EP3,6.0,7.0,6.5,6.5,good_length,type_c_application_present;epoch_plausible;tags_aligned,unique_text;ubiquitous_topic:759;multi_topic_overlap:4
533,A,Neutral Framing,What accounts for the fact that care work remains undervalued across virtually all economies?,A1|D1|C1,EP3,6.0,7.0,6.5,6.5,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:840;multi_topic_overlap:4
534,B,Contrast,What alternative explanation for the growth of the gig economy exists beyond the narrative of worker preference for flexibility?,A1|A2,EP3,6.0,5.5,6.5,6.0,good_length,type_b_no_contrast;epoch_plausible;tags_aligned,uncommon_tag_combo;low_similarity;ubiquitous_topic:474
535,A,Neutral Framing,What are the mechanisms through which inherited wealth translates into political influence?,A1,EP3,6.0,7.0,7.9,7.0,good_length,type_a_matches;epoch_plausible;tags_aligned,common_tag_combo:29x;unique_text;no_topic_match
536,B,Contrast,What blind spot does mainstream economic analysis have when it treats the labor market as if workers and employers negotiate on equal terms?,A1,EP3,6.0,5.5,6.4,6.0,good_length,type_b_no_contrast;epoch_plausible;tags_aligned,common_tag_combo:29x;unique_text;ubiquitous_topic:801;multi_topic_overlap:3
537,B,Contrast,What differences emerge between the living conditions of factory managers and factory workers in the same industrial city?,A3|A1,EP3,6.5,7.0,7.0,6.8,good_length;good_contrast_structure,type_b_contrast_present;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:603
538,B,Contrast,What does an analysis of consumer behavior that focuses on individual preferences overlook that an analysis of market structure and advertising would catch?,A1,EP3,6.5,7.0,7.4,7.0,good_length;good_contrast_structure,type_b_contrast_present;epoch_plausible;tags_aligned,common_tag_combo:29x;low_similarity;common_topic
539,B,Contrast,What does an analysis of poverty that focuses on income levels overlook that an analysis of wealth concentration would catch?,A1,EP3,6.5,7.0,6.9,6.8,good_length;good_contrast_structure,type_b_contrast_present;epoch_plausible;tags_aligned,common_tag_combo:29x;low_similarity;very_common_topic
540,C,Application,What does the pattern of pharmaceutical patent extensions and 'evergreening' tell us about the relationship between innovation incentives and drug pricing?,A1|D1,EP3,6.0,7.0,8.0,7.0,good_length,type_c_application_present;epoch_plausible;tags_aligned,unique_text;no_topic_match
541,C,Application,"What does the rise of central bank digital currencies mean for the relationship between states, financial institutions, and ordinary citizens?",A1,EP3,6.0,7.0,6.9,6.6,good_length,type_c_application_present;epoch_plausible;tags_aligned,common_tag_combo:29x;unique_text;ubiquitous_topic:493
542,A,Neutral Framing,What enables the financial sector to grow while the real economy stagnates?,A1,EP3,6.0,7.0,7.9,7.0,good_length,type_a_matches;epoch_plausible;tags_aligned,common_tag_combo:29x;unique_text;common_topic
543,A,Neutral Framing,What happens when a society treats healthcare as a market commodity rather than a social right?,A1|D1,EP3,6.0,7.0,7.0,6.7,good_length,type_a_matches;epoch_plausible;tags_aligned,unique_text;very_common_topic;multi_topic_overlap:3
544,D,Conceptual DM,"What happens when the pursuit of profit in a sector creates negative effects — pollution, inequality, insecurity — that the market itself cannot address?",A1,EP3,6.0,6.5,7.4,6.6,good_length,type_d_conceptual;epoch_plausible;tags_aligned,common_tag_combo:29x;unique_text;very_common_topic
545,C,Application,What has been the effect of the growth of the security industry on public safety and civil liberties?,A1,EP3,6.0,6.0,7.9,6.6,good_length,epoch_plausible;tags_aligned,common_tag_combo:29x;unique_text;no_topic_match
546,D,Conceptual DM,What is commodity fetishism — the tendency to see social relationships between people as relationships between things — and how does it shape our understanding of economic relationships?,A1,EP3,4.0,6.5,7.9,6.1,good_length;dm_terms:commodity fetishism,type_d_conceptual;epoch_plausible;tags_aligned,common_tag_combo:29x;unique_text;no_topic_match
547,B,Contrast,What is missing from explanations of student debt that focus on personal financial literacy without addressing the role of higher education as an investment industry?,A1|D1,EP3,6.5,5.5,6.0,6.0,good_length;good_contrast_structure,type_b_no_contrast;epoch_plausible;tags_aligned,low_similarity;ubiquitous_topic:612;multi_topic_overlap:3
